city,state_id,state_name,county_name,population,lat,lng
New York City,NY,New York,,8804190,40.71427,-74.00597
Los Angeles,CA,California,,3820914,34.05223,-118.24368
Brooklyn,NY,New York,,2736074,40.6501,-73.94958
Chicago,IL,Illinois,,2664452,41.85003,-87.65005
Queens,NY,New York,,2316841,40.68149,-73.83652
Houston,TX,Texas,,2314157,29.76328,-95.36327
Phoenix,AZ,Arizona,,1650070,33.44838,-112.07404
Philadelphia,PA,Pennsylvania,,1573916,39.95238,-75.16362
San Antonio,TX,Texas,,1526656,29.42412,-98.49363
Manhattan,NY,New York,,1487536,40.78343,-73.96625
San Diego,CA,California,,1404452,32.71571,-117.16472
The Bronx,NY,New York,,1385108,40.84985,-73.86641
Dallas,TX,Texas,,1326087,32.78306,-96.80667
Jacksonville,FL,Florida,,1009833,30.33218,-81.65565
Fort Worth,TX,Texas,,1008106,32.72541,-97.32085
San Jose,CA,California,,997368,37.33939,-121.89496
Austin,TX,Texas,,974447,30.26715,-97.74306
Columbus,OH,Ohio,,913175,39.96118,-82.99879
Charlotte,NC,North Carolina,,911311,35.22709,-80.84313
Indianapolis,IN,Indiana,,887642,39.76838,-86.15804
San Francisco,CA,California,,827526,37.77493,-122.41942
Seattle,WA,Washington,,780995,47.60621,-122.33207
Denver,CO,Colorado,,729019,39.73915,-104.9847
Washington,DC,District of Columbia,,689545,38.89511,-77.03637
Nashville,TN,Tennessee,,689447,36.16589,-86.78444
Oklahoma City,OK,Oklahoma,,681054,35.46756,-97.51643
El Paso,TX,Texas,,678815,31.75872,-106.48693
Boston,MA,Massachusetts,,653833,42.35843,-71.05977
Portland,OR,Oregon,,652503,45.52345,-122.67621
Detroit,MI,Michigan,,645705,42.33143,-83.04575
Las Vegas,NV,Nevada,,641903,36.17497,-115.13722
New South Memphis,TN,Tennessee,,641608,35.08676,-90.05676
Memphis,TN,Tennessee,,633104,35.14953,-90.04898
Louisville,KY,Kentucky,,624444,38.25424,-85.75941
Baltimore,MD,Maryland,,585708,39.29038,-76.61219
South Boston,MA,Massachusetts,,571281,42.33343,-71.04949
Albuquerque,NM,New Mexico,,564559,35.08449,-106.65114
Milwaukee,WI,Wisconsin,,563531,43.0389,-87.90647
Tucson,AZ,Arizona,,542629,32.22174,-110.92648
Fresno,CA,California,,542107,36.74773,-119.77237
Sacramento,CA,California,,524943,38.58157,-121.4944
Atlanta,GA,Georgia,,510823,33.749,-84.38798
Miami,FL,Florida,,487014,25.77427,-80.19366
Omaha,NE,Nebraska,,486051,41.25626,-95.94043
Raleigh,NC,North Carolina,,482295,35.7721,-78.63861
Kansas City,MO,Missouri,,475378,39.09973,-94.57857
Long Beach,CA,California,,474140,33.76696,-118.18923
Mesa,AZ,Arizona,,471825,33.42227,-111.82264
Staten Island,NY,New York,,468730,40.56233,-74.13986
Colorado Springs,CO,Colorado,,456568,38.83388,-104.82136
Virginia Beach,VA,Virginia,,454808,36.85293,-75.97799
Oakland,CA,California,,419267,37.80437,-122.2708
Tampa,FL,Florida,,414547,27.94752,-82.45843
Tulsa,OK,Oklahoma,,413066,36.15398,-95.99277
Minneapolis,MN,Minnesota,,410939,44.97997,-93.26384
Wichita,KS,Kansas,,396119,37.69224,-97.33754
Arlington,TX,Texas,,388125,32.73569,-97.10807
Bakersfield,CA,California,,373640,35.37329,-119.01871
Cleveland,OH,Ohio,,365379,41.4995,-81.69541
New Orleans,LA,Louisiana,,362701,29.95465,-90.07507
Aurora,CO,Colorado,,359407,39.72943,-104.83192
Honolulu,HI,Hawaii,,350964,21.30694,-157.85833
Anaheim,CA,California,,350742,33.83529,-117.9145
West Raleigh,NC,North Carolina,,338759,35.78682,-78.66389
Orlando,FL,Florida,,334854,28.53834,-81.37924
Lexington,KY,Kentucky,,320347,37.98869,-84.47772
Riverside,CA,California,,317261,33.95335,-117.39616
Corpus Christi,TX,Texas,,316239,27.80058,-97.39638
Lexington-Fayette,KY,Kentucky,,314488,38.0498,-84.45855
Cincinnati,OH,Ohio,,311097,39.12711,-84.51439
Santa Ana,CA,California,,310227,33.74557,-117.86783
Stockton,CA,California,,305658,37.9577,-121.29078
Pittsburgh,PA,Pennsylvania,,304391,40.44062,-79.99589
Saint Paul,MN,Minnesota,,303176,44.94441,-93.09327
Lincoln,NE,Nebraska,,294757,40.8,-96.66696
Anchorage,AK,Alaska,,289600,61.21806,-149.90028
Meads,KY,Kentucky,,288649,38.41258,-82.70905
Henderson,NV,Nevada,,285667,36.0397,-114.98194
